product_id,created_at,description,name,price,stock
prod_1,2023-05-01,Descrição do Produto 1,Produto1,120.0,
prod_10,2023-10-09,Descrição do Produto 10,Produto 10,186.0,
prod_100,2023-08-19,Descrição do Produto 100,Produto 100,496.0,
prod_11,2023-01-29,Descrição do Produto 11,Produto11,463.0,87
prod_12,2023-07-05,Descrição do Produto 12,Produto 12,480.0,11
prod_13,2023-08-09,Descrição do Produto 13,Produto13,238.0,
prod_14,2023-02-26,Descrição do Produto 14,Produto 14,319.0,10
prod_15,2023-07-10,Descrição do Produto 15,Produto15,430.0,24
prod_16,2023-01-30,Descrição do Produto 16,Produto 16,364.0,
prod_17,2023-08-20,Descrição do Produto 17,Produto17,392.0,44
prod_18,2023-04-13,Descrição do Produto 18,Produto 18,225.0,42
prod_19,2023-03-08,Descrição do Produto 19,Produto19,480.0,
prod_2,2023-11-23,Descrição do Produto 2,Produto 2,433.0,55
prod_20,2023-11-11,Descrição do Produto 20,Produto 20,237.0,36
prod_21,2023-04-23,Descrição do Produto 21,Produto21,356.0,93
prod_22,2023-12-31,Descrição do Produto 22,Produto 22,489.0,
prod_23,2023-10-02,Descrição do Produto 23,Produto23,308.0,72
prod_24,2023-03-30,Descrição do Produto 24,Produto 24,291.0,47
prod_25,2023-06-29,Descrição do Produto 25,Produto25,335.0,
prod_26,2023-04-12,Descrição do Produto 26,Produto 26,497.0,84
prod_27,2023-07-26,Descrição do Produto 27,Produto27,460.0,10
prod_28,2023-07-05,Descrição do Produto 28,Produto 28,363.0,
prod_29,2023-11-06,Descrição do Produto 29,Produto29,292.0,22
prod_3,2023-12-15,Descrição do Produto 3,Produto3,150.0,21
prod_30,2023-04-09,Descrição do Produto 30,Produto 30,280.0,87
prod_31,2023-01-26,Descrição do Produto 31,Produto31,422.0,
prod_32,2023-06-18,Descrição do Produto 32,Produto 32,257.0,52
prod_33,2023-08-14,Descrição do Produto 33,Produto33,276.0,24
prod_34,2023-10-03,Descrição do Produto 34,Produto 34,106.0,
prod_35,2023-05-18,Descrição do Produto 35,Produto35,393.0,69
