order_id,var_name,var_value
order_1,user_id,user_270
order_1,created_at,2023-09-09
order_1,items,"[{'product_id': 'prod_77', 'quantity': 3}, {'product_id': 'prod_39', 'quantity': 1}, {'product_id': 'prod_58', 'quantity': 2}, {'product_id': 'prod_26', 'quantity': 1}]"
order_1,total,"R$ 2,393,37"
order_1,payment_status,pago
order_1,payment_method,boleto
order_1,payment_date,2023-01-11
order_1,shipping_status,enviado
order_1,shipping_status_date,2023/05/27
order_2,user_id,user_786
order_2,created_at,2023-04-13
order_2,items,"[{'product_id': 'prod_24', 'quantity': 2}, {'product_id': 'prod_40', 'quantity': 3}, {'product_id': 'prod_3', 'quantity': 1}]"
order_2,total,"R$ 1,782,68"
order_2,payment_status,não pago
order_2,payment_method,
order_2,payment_date,
order_2,shipping_status,enviado
order_2,shipping_status_date,2023-09-07
order_3,user_id,user_378
order_3,created_at,2023-11-25
order_3,items,"[{'product_id': 'prod_30', 'quantity': 3}, {'product_id': 'prod_28', 'quantity': 2}, {'product_id': 'prod_51', 'quantity': 2}]"
order_3,total,"R$ 2,235,51"
order_3,payment_status,pago
order_3,payment_method,débito
order_3,payment_date,2023-06-01
order_3,shipping_status,preparando envio
order_3,shipping_status_date,08-11-2023
order_4,user_id,user_720
order_4,created_at,2023/10/29
order_4,items,"[{'product_id': 'prod_78', 'quantity': 2}, {'product_id': 'prod_79', 'quantity': 2}, {'product_id': 'prod_74', 'quantity': 3}]"
order_4,total,"R$ 2,003,02"
order_4,payment_status,pendente
order_4,payment_method,
order_4,payment_date,
order_4,shipping_status,enviado
order_4,shipping_status_date,2023/11/24
order_5,user_id,user_457
order_5,created_at,2023-09-17
order_5,items,"[{'product_id': 'prod_16', 'quantity': 3}, {'product_id': 'prod_31', 'quantity': 3}, {'product_id': 'prod_13', 'quantity': 1}, {'product_id': 'prod_98', 'quantity': 1}]"
order_5,total,"R$ 306,11"
order_5,payment_status,não pago
order_5,payment_method,
order_5,payment_date,
order_5,shipping_status,entregue
order_5,shipping_status_date,09-08-2023
order_6,user_id,user_396
order_6,created_at,2023-08-02
order_6,items,"[{'product_id': 'prod_68', 'quantity': 3}]"
order_6,total,"R$ 592,21"
order_6,payment_status,pendente
order_6,payment_method,
order_6,payment_date,
order_6,shipping_status,aguardando pagamento
order_6,shipping_status_date,2023/11/17
order_7,user_id,user_923
order_7,created_at,17-03-2023
order_7,items,"[{'product_id': 'prod_9', 'quantity': 3}, {'product_id': 'prod_58', 'quantity': 3}]"
order_7,total,"R$ 2,725,04"
order_7,payment_status,pendente
order_7,payment_method,
order_7,payment_date,
order_7,shipping_status,entregue
order_7,shipping_status_date,28-01-2023
order_8,user_id,user_794
order_8,created_at,2023/02/15
order_8,items,"[{'product_id': 'prod_32', 'quantity': 2}, {'product_id': 'prod_7', 'quantity': 2}, {'product_id': 'prod_70', 'quantity': 1}]"
order_8,total,"R$ 1,222,29"
order_8,payment_status,pendente
order_8,payment_method,
order_8,payment_date,
order_8,shipping_status,entregue
order_8,shipping_status_date,2023/04/26
order_9,user_id,user_375
order_9,created_at,20-03-2023
order_9,items,"[{'product_id': 'prod_52', 'quantity': 3}]"
order_9,total,"R$ 1,405,97"
order_9,payment_status,pendente
order_9,payment_method,
order_9,payment_date,
order_9,shipping_status,enviado
order_9,shipping_status_date,2023-06-10
order_10,user_id,user_746
order_10,created_at,2023/06/26
order_10,items,"[{'product_id': 'prod_93', 'quantity': 2}, {'product_id': 'prod_80', 'quantity': 1}, {'product_id': 'prod_91', 'quantity': 2}]"
order_10,total,"R$ 2,470,36"
order_10,payment_status,pendente
order_10,payment_method,
order_10,payment_date,
order_10,shipping_status,enviado
order_10,shipping_status_date,2023/05/24
order_11,user_id,user_671
order_11,created_at,15-01-2023
order_11,items,"[{'product_id': 'prod_16', 'quantity': 1}, {'product_id': 'prod_61', 'quantity': 3}]"
order_11,total,"R$ 340,53"
order_11,payment_status,pendente
order_11,payment_method,
order_11,payment_date,
order_11,shipping_status,enviado
order_11,shipping_status_date,2023/05/11
order_12,user_id,user_177
order_12,created_at,27-01-2023
order_12,items,"[{'product_id': 'prod_41', 'quantity': 1}, {'product_id': 'prod_4', 'quantity': 3}]"
order_12,total,"R$ 2,820,57"
order_12,payment_status,pago
order_12,payment_method,dinheiro
order_12,payment_date,02-04-2023
order_12,shipping_status,preparando envio
order_12,shipping_status_date,2023/06/28
order_13,user_id,user_580
order_13,created_at,14-12-2023
order_13,items,"[{'product_id': 'prod_67', 'quantity': 1}]"
order_13,total,"R$ 1,032,39"
order_13,payment_status,não pago
order_13,payment_method,
order_13,payment_date,
order_13,shipping_status,preparando envio
